age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,tuition_monthly,financial_aid_monthly,books_supplies_monthly,total_spending,spending_margin,gmm_label,spending_category
19,Non-binary,Freshman,Psychology,958,270,5939,709,296,123,188,41,78,134,127,72,Credit/Debit Card,990,45,31,2601,1598,2,Over-Spender
24,Female,Junior,Economics,1006,875,4908,557,365,85,252,74,92,226,129,68,Credit/Debit Card,818,146,42,2456,1304,0,Balanced
24,Non-binary,Junior,Economics,734,928,3051,666,220,137,99,130,23,239,112,133,Cash,508,155,16,2184,1295,0,Balanced
23,Female,Senior,Computer Science,617,265,4935,652,289,114,223,99,30,163,105,55,Mobile Payment App,822,44,37,2366,1705,2,Over-Spender
20,Female,Senior,Computer Science,810,522,3887,825,372,168,194,48,71,88,71,104,Credit/Debit Card,648,87,32,2427,1530,0,Balanced
25,Non-binary,Sophomore,Computer Science,523,790,3151,413,386,122,131,73,38,234,108,99,Mobile Payment App,525,132,22,2020,1365,0,Balanced
23,Female,Freshman,Engineering,1354,69,4973,812,398,101,213,21,38,157,117,48,Credit/Debit Card,829,12,36,2557,1191,0,Balanced
23,Female,Junior,Economics,631,748,3966,571,269,92,251,37,90,152,56,62,Mobile Payment App,661,125,42,2032,1276,0,Balanced
22,Non-binary,Senior,Computer Science,1402,248,5638,599,354,82,155,123,41,162,172,194,Credit/Debit Card,940,41,26,2693,1250,0,Balanced
18,Female,Junior,Computer Science,1423,74,3977,626,249,117,123,51,74,243,34,196,Mobile Payment App,663,12,20,2273,838,1,Saver
23,Male,Junior,Biology,762,615,4093,660,262,58,183,98,21,274,66,50,Credit/Debit Card,682,102,30,2201,1337,0,Balanced
25,Male,Freshman,Engineering,1068,19,5138,734,243,200,228,57,57,209,193,146,Credit/Debit Card,856,3,38,2733,1662,2,Over-Spender
21,Male,Sophomore,Economics,719,540,4863,894,280,120,126,41,50,78,113,114,Credit/Debit Card,810,90,21,2521,1712,2,Over-Spender
19,Female,Junior,Biology,1176,859,5201,626,234,50,274,20,77,125,199,103,Mobile Payment App,867,143,46,2347,1028,1,Saver
24,Non-binary,Freshman,Economics,1496,75,5301,657,151,63,92,124,64,196,50,117,Cash,884,12,15,2321,813,1,Saver
22,Non-binary,Sophomore,Computer Science,1227,26,4175,884,328,167,175,111,96,73,154,109,Cash,696,4,29,2647,1416,0,Balanced
23,Female,Freshman,Psychology,1419,237,5450,883,361,200,141,76,22,285,185,76,Cash,908,40,24,3020,1561,0,Balanced
21,Female,Freshman,Computer Science,1454,851,3538,754,357,110,188,33,24,50,74,46,Mobile Payment App,590,142,31,2069,473,1,Saver
19,Female,Sophomore,Psychology,1487,311,4401,883,292,69,51,75,60,105,181,164,Credit/Debit Card,734,52,8,2571,1032,1,Saver
20,Female,Senior,Engineering,1157,401,3131,886,196,131,216,57,39,264,39,174,Mobile Payment App,522,67,36,2344,1120,0,Balanced
