age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,tuition_monthly,financial_aid_monthly,books_supplies_monthly,total_spending,spending_ratio,spending_category
19,Non-binary,Freshman,Psychology,958,270,5939,709,296,123,188,41,78,134,127,72,Credit/Debit Card,990,45,31,2601,2.593220338983051,Balanced
24,Female,Junior,Economics,1006,875,4908,557,365,85,252,74,92,226,129,68,Credit/Debit Card,818,146,42,2456,2.1319444444444446,Balanced
24,Non-binary,Junior,Economics,734,928,3051,666,220,137,99,130,23,239,112,133,Cash,508,155,16,2184,2.456692913385827,Balanced
23,Female,Senior,Computer Science,617,265,4935,652,289,114,223,99,30,163,105,55,Mobile Payment App,822,44,37,2366,3.5794251134644477,Over-Spender
20,Female,Senior,Computer Science,810,522,3887,825,372,168,194,48,71,88,71,104,Credit/Debit Card,648,87,32,2427,2.705685618729097,Over-Spender
25,Non-binary,Sophomore,Computer Science,523,790,3151,413,386,122,131,73,38,234,108,99,Mobile Payment App,525,132,22,2020,3.0839694656488548,Over-Spender
23,Female,Freshman,Engineering,1354,69,4973,812,398,101,213,21,38,157,117,48,Credit/Debit Card,829,12,36,2557,1.8718887262079063,Saver
23,Female,Junior,Economics,631,748,3966,571,269,92,251,37,90,152,56,62,Mobile Payment App,661,125,42,2032,2.687830687830688,Over-Spender
22,Non-binary,Senior,Computer Science,1402,248,5638,599,354,82,155,123,41,162,172,194,Credit/Debit Card,940,41,26,2693,1.8662508662508663,Saver
18,Female,Junior,Computer Science,1423,74,3977,626,249,117,123,51,74,243,34,196,Mobile Payment App,663,12,20,2273,1.5839721254355401,Saver
23,Male,Junior,Biology,762,615,4093,660,262,58,183,98,21,274,66,50,Credit/Debit Card,682,102,30,2201,2.5474537037037037,Over-Spender
25,Male,Freshman,Engineering,1068,19,5138,734,243,200,228,57,57,209,193,146,Credit/Debit Card,856,3,38,2733,2.5518207282913163,Balanced
21,Male,Sophomore,Economics,719,540,4863,894,280,120,126,41,50,78,113,114,Credit/Debit Card,810,90,21,2521,3.11619283065513,Over-Spender
19,Female,Junior,Biology,1176,859,5201,626,234,50,274,20,77,125,199,103,Mobile Payment App,867,143,46,2347,1.7793783169067476,Saver
24,Non-binary,Freshman,Economics,1496,75,5301,657,151,63,92,124,64,196,50,117,Cash,884,12,15,2321,1.5391246684350133,Saver
22,Non-binary,Sophomore,Computer Science,1227,26,4175,884,328,167,175,111,96,73,154,109,Cash,696,4,29,2647,2.150284321689683,Balanced
23,Female,Freshman,Psychology,1419,237,5450,883,361,200,141,76,22,285,185,76,Cash,908,40,24,3020,2.069910897875257,Saver
21,Female,Freshman,Computer Science,1454,851,3538,754,357,110,188,33,24,50,74,46,Mobile Payment App,590,142,31,2069,1.2963659147869675,Saver
19,Female,Sophomore,Psychology,1487,311,4401,883,292,69,51,75,60,105,181,164,Credit/Debit Card,734,52,8,2571,1.6705653021442495,Saver
20,Female,Senior,Engineering,1157,401,3131,886,196,131,216,57,39,264,39,174,Mobile Payment App,522,67,36,2344,1.9150326797385622,Balanced
19,Male,Junior,Psychology,1180,732,4206,597,254,195,67,51,21,97,185,46,Credit/Debit Card,701,122,11,2158,1.6574500768049154,Saver
24,Male,Sophomore,Computer Science,516,549,4878,814,286,180,282,55,25,77,73,184,Mobile Payment App,813,92,47,2554,4.2006578947368425,Over-Spender
18,Non-binary,Sophomore,Biology,1225,610,4998,473,159,134,294,37,86,159,60,43,Cash,833,102,49,2033,1.532027128862095,Saver
24,Non-binary,Senior,Economics,582,285,4210,421,348,138,143,62,85,218,113,60,Credit/Debit Card,702,48,24,2171,3.4460317460317462,Over-Spender
19,Female,Senior,Economics,1062,56,4500,731,238,103,76,111,95,238,74,83,Mobile Payment App,750,9,13,2436,2.2745098039215685,Balanced
25,Female,Junior,Biology,1054,528,5486,789,400,81,211,95,74,237,140,136,Mobile Payment App,914,88,35,2901,2.540280210157618,Balanced
20,Male,Senior,Economics,667,690,3541,762,173,185,288,53,38,84,159,137,Credit/Debit Card,590,115,48,2229,2.850383631713555,Over-Spender
20,Female,Junior,Psychology,796,705,5616,664,291,179,260,127,21,113,194,80,Credit/Debit Card,936,118,43,2648,2.8971553610503284,Over-Spender
24,Non-binary,Sophomore,Psychology,905,671,4156,444,163,131,141,132,31,156,95,128,Credit/Debit Card,693,112,24,1997,1.9636184857423795,Balanced
23,Non-binary,Junior,Engineering,531,448,3099,742,394,179,95,64,62,73,104,173,Mobile Payment App,516,75,16,2323,3.8333333333333335,Over-Spender
23,Non-binary,Freshman,Economics,1426,3,5943,677,296,110,137,146,21,155,105,26,Mobile Payment App,990,0,23,2549,1.7875175315568022,Saver
23,Male,Sophomore,Psychology,1465,302,5417,468,113,190,134,119,82,276,165,191,Mobile Payment App,903,50,22,2529,1.6693069306930692,Saver
24,Non-binary,Junior,Computer Science,522,555,5236,860,169,133,147,123,48,138,89,150,Credit/Debit Card,873,92,24,2607,4.245928338762215,Over-Spender
25,Female,Freshman,Economics,1338,110,5615,468,325,158,244,98,46,231,183,80,Cash,936,18,41,2566,1.892330383480826,Saver
23,Male,Junior,Biology,1363,365,3222,695,185,166,99,116,68,77,31,161,Mobile Payment App,537,61,16,2052,1.4410112359550562,Saver
21,Male,Freshman,Biology,1328,320,3090,718,254,93,204,74,30,228,60,179,Cash,515,53,34,2185,1.5821868211440986,Saver
22,Male,Sophomore,Engineering,1350,675,3931,462,372,147,282,149,92,269,105,190,Cash,655,112,47,2488,1.7017783857729138,Saver
23,Non-binary,Senior,Computer Science,1309,265,5160,600,178,148,186,88,78,242,54,172,Cash,860,44,31,2451,1.811529933481153,Saver
21,Female,Senior,Biology,965,251,5344,695,249,88,249,49,29,298,96,31,Cash,891,42,42,2468,2.4508440913604765,Balanced
20,Female,Senior,Engineering,600,392,5733,791,309,178,67,22,29,142,74,105,Mobile Payment App,956,65,11,2617,3.9353383458646616,Over-Spender
24,Female,Freshman,Engineering,605,118,5696,653,165,189,151,86,82,117,83,156,Mobile Payment App,949,20,25,2505,4.008,Over-Spender
25,Male,Sophomore,Economics,804,140,5332,517,289,147,153,125,43,159,44,127,Cash,889,23,26,2366,2.8609431680773882,Over-Spender
23,Female,Sophomore,Economics,1274,449,4639,755,137,55,249,103,50,176,67,175,Cash,773,75,42,2333,1.7294292068198667,Saver
23,Male,Junior,Psychology,509,942,3958,511,391,192,264,57,85,108,115,141,Credit/Debit Card,660,157,44,2304,3.4594594594594597,Over-Spender
23,Female,Senior,Economics,1285,881,3823,740,253,182,230,32,92,118,34,39,Credit/Debit Card,637,147,38,2165,1.5118715083798884,Saver
18,Male,Freshman,Computer Science,929,348,3854,590,204,196,183,129,80,163,116,55,Credit/Debit Card,642,58,30,2205,2.234042553191489,Balanced
25,Non-binary,Freshman,Psychology,1163,235,4951,549,261,86,185,102,21,252,31,88,Cash,825,39,31,2246,1.8685524126455906,Balanced
19,Male,Senior,Psychology,1195,745,5269,920,167,57,88,113,60,242,35,106,Mobile Payment App,878,124,15,2593,1.9658832448824868,Saver
